time,us_aqi,pm10,pm2_5,nitrogen_dioxide,ozone,timestamp,hour,day_of_week,month,aqi_change_rate,aqi_lag_1,aqi_lag_24,target_aqi_24h
2026-03-09T00:00,81,53.0,41.2,72.4,12.0,2026-03-09 00:00:00,0,0,3,0.0,81.0,81.0,89.0
2026-03-09T01:00,82,43.9,34.5,56.6,24.0,2026-03-09 01:00:00,1,0,3,1.0,81.0,82.0,88.0
2026-03-09T02:00,82,37.0,28.8,42.8,34.0,2026-03-09 02:00:00,2,0,3,0.0,82.0,82.0,87.0
2026-03-09T03:00,82,31.5,24.3,31.5,41.0,2026-03-09 03:00:00,3,0,3,0.0,82.0,82.0,87.0
2026-03-09T04:00,82,27.7,21.6,22.2,47.0,2026-03-09 04:00:00,4,0,3,0.0,82.0,82.0,87.0
2026-03-09T05:00,82,38.9,29.6,33.3,38.0,2026-03-09 05:00:00,5,0,3,0.0,82.0,82.0,87.0
2026-03-09T06:00,84,33.6,26.4,37.4,31.0,2026-03-09 06:00:00,6,0,3,2.0,82.0,84.0,87.0
2026-03-09T07:00,85,32.9,27.6,42.9,23.0,2026-03-09 07:00:00,7,0,3,1.0,84.0,85.0,86.0
2026-03-09T08:00,85,36.8,32.5,44.8,23.0,2026-03-09 08:00:00,8,0,3,0.0,85.0,85.0,86.0
2026-03-09T09:00,86,41.3,34.6,40.3,40.0,2026-03-09 09:00:00,9,0,3,1.0,85.0,86.0,86.0
2026-03-09T10:00,87,43.3,29.3,32.2,65.0,2026-03-09 10:00:00,10,0,3,1.0,86.0,87.0,86.0
2026-03-09T11:00,88,40.7,24.1,25.0,87.0,2026-03-09 11:00:00,11,0,3,1.0,87.0,88.0,86.0
2026-03-09T12:00,89,40.6,22.5,19.1,104.0,2026-03-09 12:00:00,12,0,3,1.0,88.0,89.0,88.0
2026-03-09T13:00,90,43.8,22.5,14.0,117.0,2026-03-09 13:00:00,13,0,3,1.0,89.0,90.0,89.0
2026-03-09T14:00,90,47.5,23.3,12.1,123.0,2026-03-09 14:00:00,14,0,3,0.0,90.0,90.0,91.0
2026-03-09T15:00,90,49.4,23.7,16.5,117.0,2026-03-09 15:00:00,15,0,3,0.0,90.0,90.0,92.0
2026-03-09T16:00,90,50.1,24.1,24.2,103.0,2026-03-09 16:00:00,16,0,3,0.0,90.0,90.0,93.0
2026-03-09T17:00,91,50.2,24.8,28.2,104.0,2026-03-09 17:00:00,17,0,3,1.0,90.0,91.0,94.0
2026-03-09T18:00,91,70.8,46.0,50.1,72.0,2026-03-09 18:00:00,18,0,3,0.0,91.0,91.0,94.0
2026-03-09T19:00,93,81.3,57.4,79.2,30.0,2026-03-09 19:00:00,19,0,3,2.0,91.0,93.0,93.0
2026-03-09T20:00,94,62.4,44.6,93.1,7.0,2026-03-09 20:00:00,20,0,3,1.0,93.0,94.0,90.0
2026-03-09T21:00,94,48.5,33.9,77.0,23.0,2026-03-09 21:00:00,21,0,3,0.0,94.0,94.0,89.0
2026-03-09T22:00,93,42.0,28.6,45.7,58.0,2026-03-09 22:00:00,22,0,3,-1.0,94.0,93.0,89.0
2026-03-09T23:00,91,40.4,26.5,20.9,86.0,2026-03-09 23:00:00,23,0,3,-2.0,93.0,91.0,88.0
2026-03-10T00:00,89,41.2,26.6,11.5,97.0,2026-03-10 00:00:00,0,1,3,-2.0,91.0,81.0,88.0
2026-03-10T01:00,88,41.7,26.7,8.7,101.0,2026-03-10 01:00:00,1,1,3,-1.0,89.0,82.0,88.0
2026-03-10T02:00,87,40.0,26.1,7.1,103.0,2026-03-10 02:00:00,2,1,3,-1.0,88.0,82.0,88.0
2026-03-10T03:00,87,38.1,25.3,4.8,104.0,2026-03-10 03:00:00,3,1,3,0.0,87.0,82.0,87.0
2026-03-10T04:00,87,35.2,24.1,3.8,102.0,2026-03-10 04:00:00,4,1,3,0.0,87.0,82.0,87.0
2026-03-10T05:00,87,32.4,19.1,4.1,101.0,2026-03-10 05:00:00,5,1,3,0.0,87.0,82.0,86.0
2026-03-10T06:00,87,37.0,20.8,10.2,94.0,2026-03-10 06:00:00,6,1,3,0.0,87.0,84.0,87.0
2026-03-10T07:00,86,41.4,25.6,18.4,85.0,2026-03-10 07:00:00,7,1,3,-1.0,87.0,85.0,87.0
2026-03-10T08:00,86,44.2,30.6,22.9,82.0,2026-03-10 08:00:00,8,1,3,0.0,86.0,85.0,87.0
2026-03-10T09:00,86,51.3,33.3,20.1,90.0,2026-03-10 09:00:00,9,1,3,0.0,86.0,86.0,86.0
2026-03-10T10:00,86,68.9,36.2,13.6,103.0,2026-03-10 10:00:00,10,1,3,0.0,86.0,87.0,85.0
2026-03-10T11:00,86,87.5,42.3,8.6,113.0,2026-03-10 11:00:00,11,1,3,0.0,86.0,88.0,84.0
2026-03-10T12:00,88,74.7,39.5,6.8,118.0,2026-03-10 12:00:00,12,1,3,2.0,86.0,89.0,82.0
2026-03-10T13:00,89,73.6,38.1,6.6,121.0,2026-03-10 13:00:00,13,1,3,1.0,88.0,90.0,80.0
2026-03-10T14:00,91,68.2,36.6,8.0,120.0,2026-03-10 14:00:00,14,1,3,2.0,89.0,90.0,80.0
2026-03-10T15:00,92,63.6,36.2,11.7,114.0,2026-03-10 15:00:00,15,1,3,1.0,91.0,90.0,79.0
2026-03-10T16:00,93,52.3,32.6,17.0,104.0,2026-03-10 16:00:00,16,1,3,1.0,92.0,90.0,78.0
2026-03-10T17:00,94,45.3,31.1,21.8,95.0,2026-03-10 17:00:00,17,1,3,1.0,93.0,91.0,78.0
2026-03-10T18:00,94,41.3,29.6,25.2,86.0,2026-03-10 18:00:00,18,1,3,0.0,94.0,91.0,79.0
2026-03-10T19:00,93,39.8,29.7,29.5,74.0,2026-03-10 19:00:00,19,1,3,-1.0,94.0,93.0,80.0
2026-03-10T20:00,90,37.7,29.7,30.4,70.0,2026-03-10 20:00:00,20,1,3,-3.0,93.0,94.0,82.0
2026-03-10T21:00,89,38.6,27.6,24.5,81.0,2026-03-10 21:00:00,21,1,3,-1.0,90.0,94.0,85.0
2026-03-10T22:00,89,38.1,26.4,15.1,99.0,2026-03-10 22:00:00,22,1,3,0.0,89.0,93.0,86.0
2026-03-10T23:00,88,40.7,27.3,7.9,112.0,2026-03-10 23:00:00,23,1,3,-1.0,89.0,91.0,87.0
